param_fmriSession,param_counterbalanceVer,param_block_num,param_trial_num,param_cond_type_num,param_cond_type_string,param_normative_response,param_ques_type_string,param_image_num,param_image_filename,p1_block_fix,p1_block_fix_dur,p1_block_question_onset,p1_block_isi_blackscreen,p1_question_duration,p2_image_onset,p2_image_duration,p3_keypress_RT,p3_keypress_key,p3_keypress_onset,p4_short_question_onset,param_end_instruct_onset,total_param_experimentDuration,RAW_param_triggerOnset,param_start_biopac,RAW_p1_block_fix,RAW_p1_block_question_onset,RAW_p1_block_isi_blackscreen,RAW_p2_image_onset,RAW_p3_keypress_onset,RAW_p4_short_question_onset,RAW_param_end_instruct_onset,CHANGE
4,3,7,8,1,c1_WhyFace,1,proud?,99,F_695.jpg,0,9.66042733192444,0,0,0.3,0,0.66691780090332,0.646989107131958,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249172.63357,1605249182.30388,1605249184.40468,1605249192.04089,1605249192.71027,1605249192.70781,0,1605249664.0366
4,3,8,1,3,c3_HowFace,1,looking to side?,72,F_590.jpg,0,7.04970788955688,0,0,2.10079407691956,0,1.71731567382812,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249202.07801,0,1605249203.79533,0,1605249664.0366
4,3,8,2,3,c3_HowFace,1,looking to side?,71,F_433.jpg,0,7.04970788955688,0,0,0.3,0,1.51723957061768,1.50159406661987,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249204.11211,1605249205.63454,1605249205.62935,0,1605249664.0366
4,3,8,3,3,c3_HowFace,1,looking to side?,67,F_716.jpg,0,7.04970788955688,0,0,0.3,0,0.450169086456299,0.432673215866089,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249205.94614,1605249206.40076,1605249206.39631,0,1605249664.0366
4,3,8,4,3,c3_HowFace,2,looking to side?,70,F_779.jpg,0,7.04970788955688,0,0,0.3,0,0.716936588287354,0.702941179275513,2,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249206.7131,1605249207.43396,1605249207.43003,0,1605249664.0366
4,3,8,5,3,c3_HowFace,1,looking to side?,68,F_760.jpg,0,7.04970788955688,0,0,0.3,0,0.566880941390991,0.545051097869873,1,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249207.74682,1605249208.31609,1605249208.3137,0,1605249664.0366
4,3,8,6,3,c3_HowFace,2,looking to side?,66,F_111.jpg,0,7.04970788955688,0,0,0.3,0,0.800301551818848,0.789690971374512,2,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249208.63049,1605249209.43438,1605249209.43079,0,1605249664.0366
4,3,8,7,3,c3_HowFace,1,looking to side?,69,F_110.jpg,0,7.04970788955688,0,0,0.3,0,1.71731424331665,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249209.74757,0,1605249211.46489,0,1605249664.0366
4,3,8,8,3,c3_HowFace,2,looking to side?,65,F_798.jpg,0,7.04970788955688,0,0,0.3,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249192.7745,1605249199.82716,1605249201.92796,1605249211.78168,0,1605249213.49899,0,1605249664.0366
4,3,9,1,1,c1_WhyFace,1,argument?,43,F_716.jpg,0,5.09980273246765,0,0,2.08411884307861,0,1.73398780822754,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249221.18523,0,1605249222.91921,0,1605249664.0366
4,3,9,2,1,c1_WhyFace,2,argument?,44,F_139.jpg,0,5.09980273246765,0,0,0.3,0,1.71731424331665,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249223.236,0,1605249224.95331,0,1605249664.0366
4,3,9,3,1,c1_WhyFace,1,argument?,41,F_712.jpg,0,5.09980273246765,0,0,0.3,0,1.71731638908386,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249225.2701,0,1605249226.98742,0,1605249664.0366
4,3,9,4,1,c1_WhyFace,2,argument?,45,F_433.jpg,0,5.09980273246765,0,0,0.3,0,1.71731472015381,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249227.3042,0,1605249229.02152,0,1605249664.0366
4,3,9,5,1,c1_WhyFace,1,argument?,42,F_403.jpg,0,5.09980273246765,0,0,0.3,0,1.71731424331665,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249229.3383,0,1605249231.05562,0,1605249664.0366
4,3,9,6,1,c1_WhyFace,2,argument?,46,F_844.jpg,0,5.09980273246765,0,0,0.3,0,1.71731519699097,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249231.3724,0,1605249233.08972,0,1605249664.0366
4,3,9,7,1,c1_WhyFace,1,argument?,47,F_743.jpg,0,5.09980273246765,0,0,0.3,0,1.71731543540955,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249233.4065,0,1605249235.12382,0,1605249664.0366
4,3,9,8,1,c1_WhyFace,1,argument?,48,F_758.jpg,0,5.09980273246765,0,0,0.3,0,1.71731448173523,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249213.83245,1605249218.95105,1605249221.03517,1605249235.44061,0,1605249237.15792,0,1605249664.0366
4,3,10,1,3,c3_HowFace,1,open mouth?,80,F_844.jpg,0,0.0137910842895508,0,0,1.367182970047,0,1.71731424331665,0,0,0,0,0,0,1605249066.04311,1605249066.05755,1605249237.49138,1605249237.50805,1605249238.87524,1605249239.02529,0,1605249240.74261,0,1605249664.0366
