param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p1_cue_offset,p2_cue_type,p3_target_onset,p4_responseonset,p4_responsekey,p4_RT,p2_cue_offset,p2_cue_duration
0,0,0,21428.129737947,0.800311166996835,21428.957293201,0,0,21429.723665526,21429.72409258,1,0.564183856000454,21429.158868655,0.201575453997066
0,0,0,21431.707634519,0.400744620001205,21432.129038863,0,0,21433.24409296,21433.244735166,1,0.913220900001761,21432.330105585,0.201066721998359
0,0,0,21434.88700576,0.300323684001341,21435.216880458,0,0,21436.651306979,21436.65205201,1,1.23237963299835,21435.4182355,0.201355042001524
0,0,0,21437.968444146,9.45449974096846e-05,21438.002395522,0,0,21438.958985553,21438.960011049,1,0.754441324999789,21438.204246694,0.201851172001625
0,0,0,21440.751811961,0.501210557002196,21441.287363731,0,0,21444.00822638,21444.009018292,2,2.51894797299974,21441.489014565,0.201650833998428
0,0,0,21444.04103367,1.10125982399768,21445.170252721,0,0,21445.908676211,21445.909844443,1,0.536811082998611,21445.371940818,0.201688097000442
0,0,0,21447.92620592,4.00118140400082,21451.946161616,0,0,21454.656369355,21454.65716496,2,2.50883211399923,21452.147255074,0.201093457999377
0,0,0,21454.678443302,4.00082869199832,21458.694568292,0,0,21460.964983986,21460.965799235,1,2.06830312300008,21458.896287701,0.201719409000361
0,0,0,21461.526076641,0.401199896001344,21461.953495835,0,0,21462.85200122,21462.852796891,1,0.697508975998062,21462.154226649,0.200730813998234
0,0,0,21464.715371404,0.100725929001783,21464.834475459,0,0,21467.554002899,21467.555227302,2,2.51878647199919,21465.035270557,0.200795098000526
0,0,0,21467.583477662,0.101233139001124,21467.721423276,0,0,21468.721736514,21468.722221734,1,0.797859899998002,21467.923070167,0.201646890996926
0,0,0,21470.488256654,0.701277774998744,21471.215264269,0,0,21473.926230034,21473.927023463,2,2.50904425099725,21471.416923082,0.201658812999085
0,0,0,21473.959540803,4.00054992500009,21477.997090411,0,0,21480.707407316,21480.708133988,2,2.50909775199761,21478.19799137,0.200900959000137
0,0,0,21480.72822511,3.70130883800084,21484.444374375,0,0,21485.084162092,21485.085126057,1,0.437789342002361,21484.646252652,0.201878276999196
0,0,0,21487.197475354,4.0012531939974,21491.214953772,0,0,21493.927462843,21493.928178539,2,2.51131353600067,21491.415842123,0.200888350998866
0,0,0,21493.954511011,0.200492853997275,21494.177068387,0,0,21495.478687176,21495.479297171,1,1.09920605099978,21494.378909194,0.201840806999826
0,0,0,21496.944794176,0.701222723997489,21497.660664934,0,0,21498.60158184,21498.602429977,1,0.739823731000797,21497.861862657,0.201197722999495
0,0,0,21500.411772228,2.40033430500262,21502.834080139,0,0,21505.554182583,21505.554625024,2,2.51771274600105,21503.035793371,0.201713231999747
0,0,0,21505.587227789,1.30049837299885,21506.923217361,0,0,21507.699623662,21507.70139162,1,0.57618211800218,21507.124068864,0.200851502999285
0,0,0,21509.674827486,9.10069758299869,21518.802474308,0,0,21521.512168137,21521.512964593,1,2.5087865409987,21519.003454586,0.200980278001225
0,0,0,21521.527791416,0.700208754999039,21522.251028206,0,0,21524.971760931,21524.972460461,2,2.51811721699778,21522.452719979,0.201691772999766
0,0,0,21524.999719789,0.70122735699988,21525.722796301,0,0,21528.439823943,21528.440460906,2,2.51476248100153,21525.924621404,0.201825102998555
0,0,0,21528.46916924,4.00023949000024,21532.486944492,0,0,21535.2051435,21535.205968459,2,2.51716117399701,21532.68773587,0.200791377999849
0,0,0,21535.243880244,0.301268752999022,21535.578238214,0,0,21536.41276335,21536.413375932,1,0.632427890999679,21535.779894482,0.201656268000079
0,0,0,21538.328739634,9.1012539680014,21547.453964879,0,0,21550.170988146,21550.171777614,1,2.51572718600073,21547.654906799,0.200941920000332
0,0,0,21550.203537805,0.90125161800097,21551.129349961,0,0,21553.86129707,21553.862104456,1,2.5306904680001,21551.330420745,0.201070783998148
0,0,0,21553.889628852,1.80122276499969,21555.727695907,0,0,21558.450379074,21558.451170773,1,2.5203920060012,21555.929513414,0.201817507000669
