param_fmriSession,param_counterbalanceVer,RAW_param_triggerOnset,param_AR_invalid_sequence,param_valid_type,p1_fixation_onset,p1_param_jitter,p1_fixation_offset,p1_ptb_fixation_duration,p2_cue_type,p2_cue_onset,p2_cue_offset,p2_cue_duration,p3_target_type,p3_target_onset,p4_responseonset,p4_responsekey,p4_responsekeyname,p4_RT,p4_fixation_fillin,p4_fixation_duration,p5_fixation_onset,RAW_p1_fixation_onset,RAW_p1_fixation_offset,RAW_p2_cue_onset,RAW_p2_cue_offset,RAW_p3_target_onset,RAW_p4_responseonset,RAW_p4_fixation_fillin,RAW_p5_fixation_onset,RAW_param_end_instruct_onset,experimentDuration,param_end_biopac,CHANGE
4,2,1605223328.5071,0,valid,53.0836274528503,4.9,57.9855887794495,4.90196132659912,left,58.0021386051178,58.205521812439,0.203383207321167,left,58.2188873195648,60.2196998500824,0,nan,0,-1605223331.2671,0,60.2363109493256,1605223384.35073,1605223389.25269,1605223389.26924,1605223389.47262,1605223389.48599,1605223391.4868,0,1605223391.50341,1605223927.52157,599.014469146729,1605223927.53523,1605223391.70698
4,2,1605223328.5071,1,invalid,60.4530587100983,1,61.4544269943237,1.00136828422546,right,61.4701070690155,61.6712889575958,0.201181888580322,left,61.6868545913696,63.6869978809357,0,nan,0,-1605223331.2671,0,63.7042782211304,1605223391.72016,1605223392.72153,1605223392.73721,1605223392.93839,1605223392.95395,1605223394.9541,0,1605223394.97138,1605223927.52157,599.014469146729,1605223927.53523,1605223395.17421
4,2,1605223328.5071,1,invalid,63.9210259819031,1,64.9236438179016,1.00261783599854,left,64.9380748176575,65.1493408584595,0.211266040802002,right,65.1714956665039,67.1722338104248,0,nan,0,-1605223331.2671,0,67.1889183425903,1605223395.18813,1605223396.19074,1605223396.20517,1605223396.41644,1605223396.4386,1605223398.43933,0,1605223398.45602,1605223927.52157,599.014469146729,1605223927.53523,1605223398.65931
4,2,1605223328.5071,1,invalid,67.4056670570373,0.6,68.0078627967834,0.602195739746094,right,68.022564163208,68.2305078411102,0.207943677902222,left,68.239312877655,70.2393557929993,0,nan,0,-1605223331.2671,0,70.2567365074158,1605223398.67277,1605223399.27496,1605223399.28966,1605223399.49761,1605223399.50641,1605223401.50646,0,1605223401.52384,1605223927.52157,599.014469146729,1605223927.53523,1605223401.72731
4,2,1605223328.5071,1,invalid,70.4734847450256,5,75.481329908371,5.00784516334534,left,75.4920349025726,75.698028793335,0.205993890762329,right,75.7087821865082,77.7088677787781,0,nan,0,-1605223331.2671,0,77.7262060546875,1605223401.74058,1605223406.74843,1605223406.75914,1605223406.96513,1605223406.97588,1605223408.97597,0,1605223408.99331,1605223927.52157,599.014469146729,1605223927.53523,1605223409.19678
4,2,1605223328.5071,1,invalid,77.9429538154602,0.9,78.8482448959351,0.905291080474854,left,78.8599650764465,79.0645840072632,0.20461893081665,right,79.0767128372192,81.0770079994202,0,nan,0,-1605223331.2671,0,81.0941357517242,1605223409.21005,1605223410.11535,1605223410.12707,1605223410.33168,1605223410.34381,1605223412.34411,0,1605223412.36124,1605223927.52157,599.014469146729,1605223927.53523,1605223412.56543
4,2,1605223328.5071,0,valid,81.3108839893341,1.7,83.0138478183746,1.70296382904053,left,83.0281948947906,83.2313518428802,0.2031569480896,left,83.2449440860748,85.245028963089,0,nan,0,-1605223331.2671,0,85.2623670005798,1605223412.57798,1605223414.28095,1605223414.2953,1605223414.49845,1605223414.51204,1605223416.51213,0,1605223416.52947,1605223927.52157,599.014469146729,1605223927.53523,1605223416.73247
4,2,1605223328.5071,1,invalid,85.4791149997711,0.6,86.0816228294373,0.602507829666138,right,86.0960125827789,86.2972497844696,0.201237201690674,left,86.3127605819702,88.3131408596039,0,nan,0,-1605223331.2671,0,88.3301854038238,1605223416.74622,1605223417.34872,1605223417.36311,1605223417.56435,1605223417.57986,1605223419.58024,0,1605223419.59729,1605223927.52157,599.014469146729,1605223927.53523,1605223419.80101
4,2,1605223328.5071,1,invalid,88.5469324493408,0.5,89.0491127872467,0.502180337905884,left,89.063793888092,89.2661387825012,0.20234489440918,right,89.2805416488647,91.2808499240875,0,nan,0,-1605223331.2671,0,91.2979681396484,1605223419.81403,1605223420.31621,1605223420.33089,1605223420.53324,1605223420.54764,1605223422.54795,0,1605223422.56507,1605223927.52157,599.014469146729,1605223927.53523,1605223422.76845
4,2,1605223328.5071,1,invalid,91.5147132778168,2.5,94.0161428356171,2.50142955780029,right,94.0323250198364,94.2331240081787,0.200798988342285,left,94.2490725421905,96.2493197822571,0,nan,0,-1605223331.2671,0,96.2664956951141,1605223422.78181,1605223425.28324,1605223425.29943,1605223425.50022,1605223425.51617,1605223427.51642,0,1605223427.5336,1605223927.52157,599.014469146729,1605223927.53523,1605223427.73727
4,2,1605223328.5071,1,invalid,96.4832434558868,0.9,97.3857858085632,0.902542352676392,left,97.4002544784546,97.6027138137817,0.202459335327148,right,97.617002954483,99.6173958683014,0,nan,0,-1605223331.2671,0,99.634425868988,1605223427.75034,1605223428.65289,1605223428.66735,1605223428.86981,1605223428.8841,1605223430.8845,0,1605223430.90153,1605223927.52157,599.014469146729,1605223927.53523,1605223431.10462
4,2,1605223328.5071,1,invalid,99.8511750602722,0.9,100.753608932495,0.9024338722229,right,100.768185606003,100.969313850403,0.201128244400024,left,100.984933843613,102.984959831238,0,nan,0,-1605223331.2671,0,103.002357234955,1605223431.11828,1605223432.02071,1605223432.03529,1605223432.23641,1605223432.25203,1605223434.25206,0,1605223434.26946,1605223927.52157,599.014469146729,1605223927.53523,1605223434.47277
4,2,1605223328.5071,0,valid,103.219105710983,1.1,104.321496953964,1.10239124298096,right,104.336192121506,104.546598901749,0.21040678024292,right,104.552938928604,106.553114881515,0,nan,0,-1605223331.2671,0,106.570363035202,1605223434.48621,1605223435.5886,1605223435.60329,1605223435.8137,1605223435.82004,1605223437.82021,0,1605223437.83746,1605223927.52157,599.014469146729,1605223927.53523,1605223438.04082
4,2,1605223328.5071,1,invalid,106.787111988068,5,111.78949593544,5.00238394737244,right,111.805662145615,112.013485898972,0.207823753356934,left,112.02240942955,114.022521009445,0,nan,0,-1605223331.2671,0,114.039834251404,1605223438.05421,1605223443.0566,1605223443.07276,1605223443.28059,1605223443.28951,1605223445.28962,0,1605223445.30693,1605223927.52157,599.014469146729,1605223927.53523,1605223445.51051
4,2,1605223328.5071,1,invalid,114.256582012177,0.9,115.164504995346,0.907922983169556,right,115.173591842651,115.380534877777,0.206943035125732,left,115.390340795517,117.390342941284,0,nan,0,-1605223331.2671,0,117.407763948441,1605223445.52368,1605223446.43161,1605223446.44069,1605223446.64763,1605223446.65744,1605223448.65744,0,1605223448.67486,1605223927.52157,599.014469146729,1605223927.53523,1605223448.87831
4,2,1605223328.5071,1,invalid,117.624511470795,5,122.631752958298,5.00724148750305,left,122.643062582016,122.847492923737,0.204430341720581,right,122.859811296463,124.859832992554,0,nan,0,-1605223331.2671,0,124.877235164642,1605223448.89161,1605223453.89885,1605223453.91016,1605223454.11459,1605223454.12691,1605223456.12693,0,1605223456.14434,1605223927.52157,599.014469146729,1605223927.53523,1605223456.34712
