param_fmriSession,param_counterbalanceVer,param_counterbalanceBlockNum,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,p5_administer_onset,p5_administer_responseonset,p5_administer_responsekey,p5_administer_RT
0,0,0,0,0,0,0,0,0,0,4347.714503786,4350.214391237,2,2.49988745100018
0,0,0,0,0,0,0,0,0,0,4352.710816736,4353.198379887,1,0.487563150999449
0,0,0,0,0,0,0,0,0,0,4357.735474291,4360.23548465,2,2.50001035900004
0,0,0,0,0,0,0,0,0,0,4362.716555815,4365.216247081,2,2.4996912659999
0,0,0,0,0,0,0,0,0,0,4367.702612725,4370.202258824,2,2.49964609899962
0,0,0,0,0,0,0,0,0,0,4372.699537571,4375.199102589,2,2.49956501799988
0,0,0,0,0,0,0,0,0,0,4377.700196655,4380.199799593,2,2.49960293799995
0,0,0,0,0,0,0,0,0,0,4382.678452372,4382.931435987,1,0.25298361500063
0,0,0,0,0,0,0,0,0,0,4387.712868544,4387.894203309,1,0.181334764999519
0,0,0,0,0,0,0,0,0,0,4392.721002887,4392.917450573,1,0.196447685999374
0,0,0,0,0,0,0,0,0,0,4397.743274269,4398.074802465,1,0.331528196000363
0,0,0,0,0,0,0,0,0,0,4402.774244581,4402.891542766,1,0.117298185000436
0,0,0,0,0,0,0,0,0,0,4407.805092947,4408.054889968,1,0.249797020999722
0,0,0,0,0,0,0,0,0,0,4412.816343132,4415.315830249,2,2.49948711700017
0,0,0,0,0,0,0,0,0,0,4417.812912643,4420.31287961,2,2.49996696699964
0,0,0,0,0,0,0,0,0,0,4422.806709497,4425.306691268,2,2.49998177099951
0,0,0,0,0,0,0,0,0,0,4427.803808142,4428.205560071,1,0.401751929000056
0,0,0,0,0,0,0,0,0,0,4432.836487703,4433.283364969,1,0.446877266000229
0,0,0,0,0,0,0,0,0,0,4437.8512362,4438.103873101,1,0.252636901000187
0,0,0,0,0,0,0,0,0,0,4442.883090722,4445.382781471,2,2.49969074900037
0,0,0,0,0,0,0,0,0,0,4447.893128148,4450.392335911,2,2.49920776300041
