param_fmriSession,p1_fixation_onset,p2_filename,p2_filetype,p2_story_onset,p3_ques_onset,p4_responseonset,p4_responsekey,p4_RT,experimentDuration,RAW_param_trigger_onset,RAW_p1_fixation_onset,RAW_p2_story_onset,RAW_p3_ques_onset,RAW_p4_responseonset,RAW_param_end_instruct_onset,RAW_param_final_fixation,param_start_biopac,event01_fixation_biopac,event02_story_biopac,event03_question_biopac
4,307.158487787247,9p_story.txt,false_photo,307.17516087532,318.162637939453,321.792567958832,1,3.63068795204163,596.059752225876,1605232525.58206,1605232835.50054,1605232835.51722,1605232846.50469,1605232850.13462,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,336.669619312286,9b_story.txt,false_belief,336.686291446686,347.673768749237,349.510526885986,2,1.83748435974121,596.059752225876,1605232525.58206,1605232865.01168,1605232865.02835,1605232876.01583,1605232877.85258,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,366.18075012207,6p_story.txt,false_photo,366.19742225647,377.184900035858,-1605232528.34206,0,0,596.059752225876,1605232525.58206,1605232894.52281,1605232894.53948,1605232905.52696,0,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,395.691880931854,6b_story.txt,false_belief,395.708553304672,406.696030607224,-1605232528.34206,0,0,596.059752225876,1605232525.58206,1605232924.03394,1605232924.05061,1605232935.03809,0,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,425.20301150322,7b_story.txt,false_belief,425.219684829712,436.207162847519,437.559669961929,1,1.35347723960876,596.059752225876,1605232525.58206,1605232953.54507,1605232953.56174,1605232964.54922,1605232965.90173,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,454.714143505096,7p_story.txt,false_photo,454.730816354752,465.718293895721,467.390726079941,2,1.67353415489197,596.059752225876,1605232525.58206,1605232983.0562,1605232983.07287,1605232994.06035,1605232995.73278,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,484.225275268555,8p_story.txt,false_photo,484.241948356628,495.229425897598,498.058346977234,1,2.82977819442749,596.059752225876,1605232525.58206,1605233012.56733,1605233012.58401,1605233023.57148,1605233026.4004,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,513.736406555176,8b_story.txt,false_belief,513.753078927994,524.740557899475,526.599044075012,2,1.85984110832214,596.059752225876,1605232525.58206,1605233042.07846,1605233042.09514,1605233053.08261,1605233054.9411,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,543.247538318634,5p_story.txt,false_photo,543.264211645126,554.251690139771,557.413264026642,1,3.16208076477051,596.059752225876,1605232525.58206,1605233071.5896,1605233071.60627,1605233082.59375,1605233085.75532,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
4,572.758670797348,5b_story.txt,false_belief,572.775343647003,583.762822618485,587.038877954483,2,3.27684640884399,596.059752225876,1605232525.58206,1605233101.10073,1605233101.1174,1605233112.10488,1605233115.38093,1605233121.64181,1605233118.624,1605232525.59408,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
0,-2.76,,,-2.76,-2.76,-2.76,0,0,596.059752225876,0,0,0,0,0,1605233121.64181,1605233118.624,0,0,0,0
